,occupancy,bin1,bin2,H2S,temperature,humidity,date,time
211,9,48.42105263157893,63.367281985996186,71.47470398277719,46.66666666666663,92.5925925925926,2021-12-08,20:50:00
212,8,48.39766081871343,60.598345003182686,71.25941872981701,48.8888888888888,88.88888888888889,2021-12-08,21:00:00
213,7,38.081871345029214,58.68873329089752,69.7524219590958,48.8888888888888,88.88888888888889,2021-12-08,21:10:00
214,8,26.853801169590625,62.44430299172502,71.25941872981701,46.66666666666663,88.88888888888889,2021-12-08,21:20:00
215,8,31.67251461988303,59.675366008911524,71.47470398277719,46.66666666666663,88.88888888888889,2021-12-08,21:30:00
216,8,32.7485380116959,62.88987905792489,71.79763186221744,44.44444444444446,92.5925925925926,2021-12-08,21:40:00
217,7,32.374269005847935,61.521323997453855,70.5059203444564,44.44444444444446,92.5925925925926,2021-12-08,21:50:00
218,7,45.98830409356724,60.136855506047105,60.81808396124866,46.66666666666663,92.5925925925926,2021-12-08,22:00:00
219,7,47.18128654970759,57.38383195416932,70.61356297093648,44.44444444444446,92.5925925925926,2021-12-08,22:10:00
220,6,35.0877192982456,41.502227880331006,66.52314316469322,46.66666666666663,88.88888888888889,2021-12-08,22:20:00
221,2,87.69590643274852,46.00572883513686,71.79763186221744,48.8888888888888,88.88888888888889,2021-12-08,22:30:00
222,3,90.03508771929822,41.88415022278803,84.82238966630786,48.8888888888888,88.88888888888889,2021-12-08,22:40:00
223,0,82.61988304093566,31.031190324633997,83.20775026910657,51.11111111111097,88.88888888888889,2021-12-08,22:50:00
224,1,89.05263157894734,72.35837046467219,68.89128094725511,51.11111111111097,92.5925925925926,2021-12-08,23:00:00
225,0,84.95906432748536,41.13621896880968,68.35306781485468,48.8888888888888,88.88888888888889,2021-12-08,23:10:00
226,1,73.96491228070174,45.448758752387015,71.58234660925727,51.11111111111097,92.5925925925926,2021-12-08,23:20:00
227,1,87.69590643274852,46.67409293443667,69.7524219590958,51.11111111111097,92.5925925925926,2021-12-08,23:30:00
228,1,85.63742690058477,44.605346912794396,68.03013993541443,55.55555555555554,88.88888888888889,2021-12-08,23:40:00
229,1,81.5438596491228,52.880330999363466,70.82884822389666,53.33333333333326,88.88888888888889,2021-12-08,23:50:00
230,0,55.8830409356725,41.868236791852325,70.72120559741657,53.33333333333326,92.5925925925926,2021-12-09,00:00:00
231,0,86.33918128654969,53.023551877784854,71.58234660925727,55.55555555555554,92.5925925925926,2021-12-09,00:10:00
232,0,75.08771929824559,48.82240611075749,72.76641550053822,55.55555555555554,88.88888888888889,2021-12-09,00:20:00
233,0,45.35672514619881,53.29408020369192,72.8740581270183,55.55555555555554,92.5925925925926,2021-12-09,00:30:00
234,0,47.18128654970759,71.81731381285806,75.24219590958019,55.55555555555554,92.5925925925926,2021-12-09,00:40:00
235,0,47.18128654970759,81.5404201145767,73.41227125941873,57.777777777777715,92.5925925925926,2021-12-09,00:50:00
288,4,32.7719298245614,52.05283259070656,75.67276641550053,33.33333333333326,92.5925925925926,2021-12-09,09:40:00
289,5,38.12865497076022,52.05283259070656,74.81162540365985,48.8888888888888,88.88888888888889,2021-12-09,09:50:00
290,6,32.7719298245614,52.05283259070656,74.81162540365985,46.66666666666663,88.88888888888889,2021-12-09,10:00:00
291,9,39.34502923976606,52.05283259070656,74.59634015069967,44.44444444444446,88.88888888888889,2021-12-09,10:10:00
292,9,47.20467836257308,39.30617441120306,74.05812701829925,46.66666666666663,88.88888888888889,2021-12-09,10:20:00
293,9,45.38011695906431,38.574156588160406,74.70398277717976,48.8888888888888,88.88888888888889,2021-12-09,10:30:00
294,9,23.67251461988303,44.462126034373014,73.84284176533907,46.66666666666663,88.88888888888889,2021-12-09,10:40:00
295,10,49.00584795321636,38.144493952896255,71.68998923573736,42.22222222222217,88.88888888888889,2021-12-09,10:50:00
296,10,32.7719298245614,40.48376830044558,78.57911733046286,39.999999999999886,88.88888888888889,2021-12-09,11:00:00
297,10,32.25730994152046,41.15213239974539,75.67276641550053,39.999999999999886,92.5925925925926,2021-12-09,11:10:00
298,11,25.824561403508767,41.15213239974539,73.95048439181916,39.999999999999886,88.88888888888889,2021-12-09,11:20:00
299,11,32.79532163742688,46.27625716104393,73.84284176533907,39.999999999999886,88.88888888888889,2021-12-09,11:30:00
300,11,39.36842105263156,45.448758752387015,78.14854682454252,37.777777777777715,88.88888888888889,2021-12-09,11:40:00
301,10,46.03508771929823,46.690006365372376,75.99569429494079,35.55555555555543,88.88888888888889,2021-12-09,11:50:00
302,9,33.33333333333333,46.03755569700829,69.96770721205597,37.777777777777715,88.88888888888889,2021-12-09,12:00:00
303,10,30.152046783625707,45.86250795671547,72.01291711517761,37.777777777777715,88.88888888888889,2021-12-09,12:10:00
304,10,18.713450292397653,45.544239338001276,74.16576964477933,35.55555555555543,88.88888888888889,2021-12-09,12:20:00
305,10,14.619883040935662,45.03500954805857,67.92249730893434,35.55555555555543,88.88888888888889,2021-12-09,12:30:00
306,13,28.514619883040922,45.03500954805857,72.98170075349839,35.55555555555543,88.88888888888889,2021-12-09,12:40:00
307,11,33.30994152046782,59.70719287078294,68.9989235737352,35.55555555555543,88.88888888888889,2021-12-09,12:50:00
308,11,32.25730994152046,52.22788033099937,74.70398277717976,35.55555555555543,88.88888888888889,2021-12-09,13:00:00
309,13,30.31578947368419,34.57988542329727,71.68998923573736,33.33333333333326,88.88888888888889,2021-12-09,13:10:00
310,18,35.20467836257308,52.54614894971356,72.76641550053822,26.66666666666663,88.88888888888889,2021-12-09,13:20:00
311,15,32.865497076023374,53.69191597708466,71.15177610333691,28.8888888888888,85.18518518518519,2021-12-09,13:30:00
312,13,29.09941520467835,52.48249522597072,71.68998923573736,24.444444444444343,85.18518518518519,2021-12-09,13:40:00
313,13,30.152046783625707,57.845321451304905,73.51991388589882,22.22222222222217,85.18518518518519,2021-12-09,13:50:00
314,14,32.25730994152046,31.938255887969447,76.31862217438105,28.8888888888888,85.18518518518519,2021-12-09,14:00:00
315,15,26.99415204678361,52.48249522597072,58.019375672766415,26.66666666666663,85.18518518518519,2021-12-09,14:10:00
316,18,29.59064327485379,70.83068109484405,75.24219590958019,31.111111111111086,85.18518518518519,2021-12-09,14:20:00
317,19,33.33333333333333,60.16868236791852,58.98815931108719,31.111111111111086,85.18518518518519,2021-12-09,14:30:00
318,20,33.30994152046782,52.880330999363466,74.91926803013993,24.444444444444343,85.18518518518519,2021-12-09,14:40:00
319,18,28.935672514619867,66.37492043284533,59.74165769644779,28.8888888888888,85.18518518518519,2021-12-09,14:50:00
320,19,32.7719298245614,63.84468491406748,59.849300322927874,28.8888888888888,85.18518518518519,2021-12-09,15:00:00
321,20,27.415204678362556,62.46021642266073,58.34230355220667,28.8888888888888,85.18518518518519,2021-12-09,15:10:00
322,22,35.71929824561401,64.30617441120306,58.34230355220667,31.111111111111086,85.18518518518519,2021-12-09,15:20:00
323,21,43.55555555555554,54.264799490770216,74.16576964477933,28.8888888888888,85.18518518518519,2021-12-09,15:30:00
324,18,42.970760233918114,53.70782940802037,59.6340150699677,26.66666666666663,85.18518518518519,2021-12-09,15:40:00
325,17,42.36257309941519,57.38383195416932,56.727664155005385,24.444444444444343,85.18518518518519,2021-12-09,15:50:00
326,22,42.36257309941519,47.533418204964995,58.1270182992465,24.444444444444343,85.18518518518519,2021-12-09,16:00:00
327,21,48.42105263157893,57.861234882240616,57.481162540365986,24.444444444444343,85.18518518518519,2021-12-09,16:10:00
328,16,55.087719298245595,57.399745385105035,53.92895586652314,24.444444444444343,81.48148148148148,2021-12-09,16:20:00
329,19,42.36257309941519,56.015276893698285,58.23466092572659,20.0,85.18518518518519,2021-12-09,16:30:00
330,16,49.00584795321636,53.58052196053469,60.064585575888046,17.777777777777715,88.88888888888889,2021-12-09,16:40:00
331,15,44.23391812865495,52.24379376193507,58.019375672766415,24.444444444444343,85.18518518518519,2021-12-09,16:50:00
334,18,31.15789473684208,55.36282622533418,54.35952637244348,20.0,85.18518518518519,2021-12-09,17:20:00
335,18,32.7719298245614,56.015276893698285,56.6200215285253,15.555555555555543,85.18518518518519,2021-12-09,17:30:00
336,16,82.2456140350877,54.51941438574157,56.6200215285253,22.22222222222217,85.18518518518519,2021-12-09,17:40:00
337,16,39.92982456140348,57.861234882240616,55.65123789020453,24.444444444444343,81.48148148148148,2021-12-09,17:50:00
338,18,32.7719298245614,52.32336091661362,58.1270182992465,26.66666666666663,81.48148148148148,2021-12-09,18:00:00
339,19,69.00584795321635,55.34691279439848,54.68245425188374,26.66666666666663,81.48148148148148,2021-12-09,18:10:00
340,21,75.57894736842104,50.827498408656915,56.40473627556513,26.66666666666663,81.48148148148148,2021-12-09,18:20:00
341,20,35.71929824561401,58.76830044557607,56.29709364908504,24.444444444444343,81.48148148148148,2021-12-09,18:30:00
342,21,63.8362573099415,53.29408020369192,59.41872981700753,24.444444444444343,81.48148148148148,2021-12-09,18:40:00
343,20,64.51461988304092,59.22978994271165,64.80086114101184,22.22222222222217,81.48148148148148,2021-12-09,18:50:00
344,20,28.53801169590642,52.880330999363466,71.25941872981701,22.22222222222217,81.48148148148148,2021-12-09,19:00:00
345,15,30.12865497076021,58.306810948440486,54.2518837459634,26.66666666666663,81.48148148148148,2021-12-09,19:10:00
346,12,99.99999999999997,82.94080203691917,55.75888051668461,22.22222222222217,81.48148148148148,2021-12-09,19:20:00
347,12,89.77777777777776,86.21896880967537,55.54359526372444,28.8888888888888,81.48148148148148,2021-12-09,19:30:00
348,12,90.40935672514618,84.81858688733291,76.64155005382132,31.111111111111086,81.48148148148148,2021-12-09,19:40:00
349,14,68.14035087719296,69.4462126034373,58.019375672766415,31.111111111111086,81.48148148148148,2021-12-09,19:50:00
350,13,63.812865497076004,86.69637173774666,75.24219590958019,35.55555555555543,81.48148148148148,2021-12-09,20:00:00
351,12,93.87134502923975,85.85295989815404,56.29709364908504,33.33333333333326,81.48148148148148,2021-12-09,20:10:00
352,11,65.91812865497074,85.2959898154042,58.019375672766415,33.33333333333326,81.48148148148148,2021-12-09,20:20:00
353,11,46.573099415204666,83.89560789306175,76.31862217438105,33.33333333333326,81.48148148148148,2021-12-09,20:30:00
354,12,75.57894736842104,61.53723742838956,60.064585575888046,31.111111111111086,81.48148148148148,2021-12-09,20:40:00
355,12,79.27485380116957,64.75175047740294,58.98815931108719,35.55555555555543,81.48148148148148,2021-12-09,20:50:00
356,10,47.789473684210506,64.75175047740294,52.96017222820237,37.777777777777715,81.48148148148148,2021-12-09,21:00:00
357,9,89.75438596491226,63.38319541693189,69.86006458557588,39.999999999999886,77.77777777777779,2021-12-09,21:10:00
358,10,92.46783625730993,48.742838956078934,71.79763186221744,37.777777777777715,77.77777777777779,2021-12-09,21:20:00
359,8,95.20467836257308,49.15658816040739,68.9989235737352,42.22222222222217,77.77777777777779,2021-12-09,21:30:00
360,8,95.906432748538,61.521323997453855,71.47470398277719,44.44444444444446,77.77777777777779,2021-12-09,21:40:00
361,7,93.84795321637425,60.136855506047105,86.65231431646932,46.66666666666663,77.77777777777779,2021-12-09,21:50:00
362,7,92.53801169590642,51.798217695735204,68.35306781485468,46.66666666666663,77.77777777777779,2021-12-09,22:00:00
363,6,93.35672514619881,52.05283259070656,66.7384284176534,48.8888888888888,77.77777777777779,2021-12-09,22:10:00
434,7,37.520467836257296,45.01909611712286,71.15177610333691,28.8888888888888,100.0,2021-12-10,10:00:00
435,9,33.28654970760232,45.01909611712286,75.67276641550053,48.8888888888888,96.2962962962963,2021-12-10,10:10:00
436,8,33.894736842105246,45.01909611712286,77.502691065662,66.66666666666663,88.88888888888889,2021-12-10,10:20:00
437,8,36.30409356725144,43.364099299809034,70.82884822389666,71.11111111111109,88.88888888888889,2021-12-10,10:30:00
440,12,33.30994152046782,45.83068109484405,75.24219590958019,68.8888888888888,88.88888888888889,2021-12-10,11:00:00
441,12,45.38011695906431,43.777848504137495,76.42626480086113,66.66666666666663,88.88888888888889,2021-12-10,11:10:00
442,12,47.1111111111111,42.96626352641629,75.56512378902045,60.0,92.5925925925926,2021-12-10,11:20:00
445,12,45.98830409356724,41.868236791852325,76.10333692142088,60.0,92.5925925925926,2021-12-10,11:50:00
446,12,31.15789473684208,43.777848504137495,76.85683530678149,62.22222222222217,92.5925925925926,2021-12-10,12:00:00
447,12,17.80116959064327,42.52068746021643,75.8880516684607,64.44444444444434,92.5925925925926,2021-12-10,12:10:00
448,12,15.461988304093552,37.460216422660736,71.79763186221744,68.8888888888888,88.88888888888889,2021-12-10,12:20:00
449,13,46.573099415204666,45.17823042647995,80.73196986006458,71.11111111111109,88.88888888888889,2021-12-10,12:30:00
450,9,31.67251461988303,42.95035009548059,78.68675995694295,75.55555555555554,88.88888888888889,2021-12-10,12:40:00
451,11,49.00584795321636,25.588796944621265,77.07212055974166,75.55555555555554,88.88888888888889,2021-12-10,12:50:00
452,13,48.374269005847935,42.60025461489497,77.07212055974166,77.77777777777771,88.88888888888889,2021-12-10,13:00:00
453,17,46.596491228070164,52.864417568427754,73.95048439181916,73.33333333333326,88.88888888888889,2021-12-10,13:10:00
454,17,49.00584795321636,47.071928707829414,80.51668460710441,68.8888888888888,88.88888888888889,2021-12-10,13:20:00
455,18,36.91228070175437,43.777848504137495,81.3778256189451,68.8888888888888,85.18518518518519,2021-12-10,13:30:00
456,16,27.95321637426899,52.05283259070656,71.90527448869753,64.44444444444434,85.18518518518519,2021-12-10,13:40:00
457,18,47.20467836257308,53.29408020369192,77.502691065662,66.66666666666663,85.18518518518519,2021-12-10,13:50:00
458,20,47.20467836257308,39.6880967536601,77.93326157158235,60.0,88.88888888888889,2021-12-10,14:00:00
459,23,44.163742690058456,41.27943984723107,79.22497308934338,51.11111111111097,88.88888888888889,2021-12-10,14:10:00
460,22,26.035087719298232,42.96626352641629,78.14854682454252,60.0,88.88888888888889,2021-12-10,14:20:00
461,19,44.163742690058456,52.05283259070656,80.6243272335845,53.33333333333326,88.88888888888889,2021-12-10,14:30:00
462,19,45.98830409356724,52.05283259070656,78.68675995694295,57.777777777777715,88.88888888888889,2021-12-10,14:40:00
463,22,40.53801169590642,42.23424570337365,78.2561894510226,57.777777777777715,88.88888888888889,2021-12-10,14:50:00
464,23,44.163742690058456,45.03500954805857,80.94725511302475,53.33333333333326,85.18518518518519,2021-12-10,15:00:00
465,22,34.50292397660817,52.54614894971356,72.33584499461787,51.11111111111097,85.18518518518519,2021-12-10,15:10:00
466,19,74.80701754385963,58.752387014640355,79.22497308934338,55.55555555555554,85.18518518518519,2021-12-10,15:20:00
467,19,71.8362573099415,48.742838956078934,82.45425188374597,57.777777777777715,85.18518518518519,2021-12-10,15:30:00
468,20,65.14619883040933,52.864417568427754,74.70398277717976,51.11111111111097,85.18518518518519,2021-12-10,15:40:00
469,18,67.36842105263156,52.05283259070656,78.68675995694295,48.8888888888888,85.18518518518519,2021-12-10,15:50:00
470,19,71.8362573099415,45.49649904519415,79.65554359526372,48.8888888888888,85.18518518518519,2021-12-10,16:00:00
471,16,67.55555555555554,55.999363462762574,79.76318622174381,44.44444444444446,88.88888888888889,2021-12-10,16:10:00
472,19,65.14619883040933,38.78103119032464,82.66953713670614,46.66666666666663,88.88888888888889,2021-12-10,16:20:00
473,18,48.631578947368396,47.48567791215786,80.40904198062432,42.22222222222217,88.88888888888889,2021-12-10,16:30:00
474,18,48.748538011695885,45.43284532145131,81.80839612486545,42.22222222222217,88.88888888888889,2021-12-10,16:40:00
475,17,46.573099415204666,36.378103119032474,80.30139935414424,46.66666666666663,88.88888888888889,2021-12-10,16:50:00
476,19,48.374269005847935,41.725015913430944,81.91603875134554,46.66666666666663,88.88888888888889,2021-12-10,17:00:00
477,19,68.86549707602337,47.91534054742203,77.07212055974166,42.22222222222217,92.5925925925926,2021-12-10,17:10:00
478,16,55.71929824561402,42.96626352641629,73.95048439181916,42.22222222222217,88.88888888888889,2021-12-10,17:20:00
479,15,64.46783625730993,42.60025461489497,79.44025834230355,37.777777777777715,92.5925925925926,2021-12-10,17:30:00
480,16,65.14619883040933,31.349458943348182,81.48546824542518,39.999999999999886,92.5925925925926,2021-12-10,17:40:00
481,17,64.46783625730993,27.530235518777857,80.83961248654467,37.777777777777715,92.5925925925926,2021-12-10,17:50:00
482,19,50.853801169590625,42.96626352641629,84.71474703982777,42.22222222222217,92.5925925925926,2021-12-10,18:00:00
483,20,38.71345029239764,52.45066836409931,76.64155005382132,71.11111111111109,88.88888888888889,2021-12-10,18:10:00
484,18,47.76608187134501,52.864417568427754,77.17976318622175,77.77777777777771,92.5925925925926,2021-12-10,18:20:00
485,20,48.98245614035086,41.12030553787397,75.8880516684607,68.8888888888888,88.88888888888889,2021-12-10,18:30:00
486,16,55.71929824561402,52.864417568427754,76.31862217438105,57.777777777777715,92.5925925925926,2021-12-10,18:40:00
487,16,43.55555555555554,69.30299172501591,76.85683530678149,55.55555555555554,92.5925925925926,2021-12-10,18:50:00
488,18,47.76608187134501,51.209420751113946,75.34983853606028,51.11111111111097,92.5925925925926,2021-12-10,19:00:00
489,13,48.42105263157893,51.6231699554424,70.39827771797631,57.777777777777715,92.5925925925926,2021-12-10,19:10:00
490,13,47.789473684210506,24.98408656906429,74.16576964477933,62.22222222222217,88.88888888888889,2021-12-10,19:20:00
491,12,47.134502923976584,81.07893061744112,74.16576964477933,60.0,88.88888888888889,2021-12-10,19:30:00
492,10,49.801169590643255,79.66263526416296,64.90850376749192,60.0,88.88888888888889,2021-12-10,19:40:00
493,8,57.75438596491227,77.80076384468492,72.44348762109796,60.0,92.5925925925926,2021-12-10,19:50:00
494,6,47.76608187134501,67.28198599618078,71.68998923573736,60.0,88.88888888888889,2021-12-10,20:00:00
495,9,47.789473684210506,63.351368555060475,72.76641550053822,60.0,88.88888888888889,2021-12-10,20:10:00
496,9,36.280701754385944,64.29026098026735,72.01291711517761,60.0,88.88888888888889,2021-12-10,20:20:00
497,8,41.4970760233918,53.69191597708466,72.8740581270183,60.0,88.88888888888889,2021-12-10,20:30:00
634,11,63.789473684210506,53.27816677275621,67.92249730893434,28.8888888888888,85.18518518518519,2021-12-11,19:20:00
728,3,48.374269005847935,51.19350732017823,74.81162540365985,44.44444444444446,55.55555555555556,2021-12-12,11:00:00
729,5,76.28070175438594,49.108847867600254,74.05812701829925,57.777777777777715,51.85185185185186,2021-12-12,11:10:00
730,4,79.25146198830407,47.02418841502228,75.02691065662002,79.99999999999989,48.14814814814815,2021-12-12,11:20:00
731,5,71.90643274853798,51.209420751113946,74.59634015069967,84.44444444444434,44.44444444444444,2021-12-12,11:30:00
732,7,48.32748538011694,40.73838319541693,73.6275565123789,82.22222222222217,40.74074074074075,2021-12-12,11:40:00
733,7,48.35087719298244,44.78039465308721,74.05812701829925,84.44444444444434,40.74074074074075,2021-12-12,11:50:00
734,8,74.66666666666666,48.96562698917887,74.05812701829925,79.99999999999989,40.74074074074075,2021-12-12,12:00:00
735,8,77.02923976608184,49.49077021005729,70.72120559741657,79.99999999999989,40.74074074074075,2021-12-12,12:10:00
